communityName,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,medIncome,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctUnemployed,PctEmploy,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,ViolentCrimesPerPop,nonViolPerPop
GrossePointeWoodscity,MI,17715,2.7,11.3,19.48,9.53,16.5,55657,26992,307,1.74,2.55,2.21,60.38,0,0,,,10,56.67,1,5.67,21,119.01,,1960.9
Pomonacity,CA,131723,3.61,16.1,32.83,16.31,6.19,32132,10728,23648,18.43,21.66,9.08,60.3,40,27.66,81,56.02,995,688.14,1237,855.5,2282,1578.22,1627.33,5693.22
Manitowoccity,WI,32520,2.47,11.81,23.19,10.69,17.02,24202,12286,3344,10.65,12.71,5.79,57.24,1,3,8,23.99,3,9,25,74.98,204,611.84,110.97,4975.71
Roswellcity,NM,44654,2.76,16.07,26.56,13.25,14.38,21870,10830,9386,21.62,14.59,6.51,53.17,9,18.64,40,82.84,31,64.2,314,650.33,817,1692.11,816.02,6677.3
GreenOaktownship,MI,11604,2.98,17.5,27.7,14.62,7.7,47421,17272,318,2.87,2.53,4.31,67.01,0,0,,,1,8.39,15,125.82,76,637.48,,2306.66
Eastontown,MA,19807,3.08,18.64,30.08,17.91,7.33,50647,19016,738,4,2.77,4.71,70.07,0,0,0,0,11,52.69,18,86.22,150,718.49,138.91,2241.7
Hermistoncity,OR,10040,2.6,14.75,26.11,12.58,11.8,20674,9729,1962,19.76,11.14,10.06,58.31,0,0,4,35.55,3,26.66,13,115.52,101,897.54,177.73,5936.19
Carrborotown,NC,11553,2.05,18.2,53.03,32.36,4.06,19799,12604,3392,29.43,3.41,4.87,71.79,2,14.28,2,14.28,31,221.33,47,335.57,173,1235.18,585.46,6568.61
ElkGroveVillagevillage,IL,33429,2.79,12.43,26.14,11.32,6.63,48863,19262,904,2.72,3.54,2.48,75.02,0,0,,,10,28.8,45,129.59,167,480.94,,3591.18
LittleRockcity,AR,175795,2.42,13.54,27.86,13.17,11.13,26889,15307,25193,14.62,6.11,5.26,64.12,68,37.61,215,118.9,1136,628.25,4468,2470.95,5796,3205.38,3255.71,12364.16
Thomasvillecity,GA,17457,2.6,14.28,24.79,11.38,14.79,20349,11204,4463,25.98,15.97,6.6,56,3,15.98,5,26.63,41,218.39,62,330.24,446,2375.63,591.24,7995.1
GrandJunctioncity,CO,29034,2.27,14.12,25.56,14.13,17.05,19042,11723,5980,21.65,8.37,8.53,52.4,4,12.29,11,33.8,22,67.59,151,463.93,448,1376.43,577.61,8249.35
Beltoncity,TX,12476,2.96,17.63,30.86,16.31,11.5,18549,9359,2943,25.98,19.11,8.72,51.54,0,0,7,49.28,10,70.4,24,168.97,84,591.38,288.65,2970.99
Gallupcity,NM,19154,3.09,14.97,27.32,11.92,6.81,26622,10559,4323,22.96,11.24,5.77,65.16,5,24.58,24,118.01,48,236.01,250,1229.23,299,1470.15,1607.83,11977.58
NiagaraFallscity,NY,61840,2.38,12.62,24.51,12.09,17.36,20641,10904,11387,18.64,11.7,10.83,51.23,3,4.97,39,64.56,207,342.68,196,324.47,1068,1768.04,736.68,
Lakewoodtownship,NJ,45048,2.75,12.49,24.83,11.68,17.97,29211,12967,6939,16.09,11.31,7.29,48.9,3,6.47,23,49.58,126,271.59,118,254.35,723,1558.42,581.98,5701.29
Menashacity,WI,14638,2.46,12.22,28.04,12.11,11.76,27264,13074,1445,9.92,8.78,4.43,65.71,0,0,3,19.13,0,0,4,25.51,77,491.01,44.64,4591.25
BrownDeervillage,WI,12236,2.53,11.41,23.47,10.65,11.92,44495,18319,554,4.54,6.98,1.79,71.01,0,0,1,8.34,7,58.37,9,75.04,49,408.57,141.75,3985.66
NorthCharlestoncity,SC,70218,2.99,17.41,41.2,23.19,5.31,21824,10315,13248,21.73,8.24,4.82,71.56,9,13.26,98,144.36,430,633.41,1000,1473.06,1488,2191.91,2264.09,11491.32
NorthMiamicity,FL,49998,2.48,11.61,26.48,12,13.09,24898,13297,7570,15.48,11.25,8.23,62.11,3,5.52,28,51.55,509,937.02,448,824.73,1589,2925.2,1818.82,10855.84
Waukeshacity,WI,56958,2.68,14.7,30.02,14.24,8.45,36192,14915,3359,6.13,5.89,3.09,72.49,1,1.65,9,14.85,19,31.34,55,90.72,254,418.98,138.56,3294.13
GroveCitycity,OH,19661,2.66,14.55,27.07,13.04,9.32,34350,14147,1125,5.82,4.85,3.23,69.54,0,0,7,30.73,16,70.23,5,21.95,79,346.76,122.9,3256.96
Smithfieldtown,RI,19163,3.12,20.81,31.28,21.25,11.18,42523,15448,715,4.34,6.92,4.82,63,0,0,4,20.24,3,15.18,8,40.47,54,273.18,75.88,1365.91
Bluefieldcity,WV,12756,2.44,12.94,21.61,10.53,19.79,21319,13149,2487,19.92,12.26,5.75,46.99,1,7.92,1,7.92,14,110.81,25,197.88,99,783.6,324.52,2857.37
Tarborotown,NC,11037,2.6,13.24,23.46,10.88,14.05,24375,12277,1414,13.39,15.56,4.44,60.47,0,0,2,18.2,27,245.68,110,1000.91,154,1401.27,1264.79,5996.36
Pennsaukentownship,NJ,34738,2.8,12.08,24.73,11.21,14.34,36097,14720,1872,5.46,8.08,4.26,62.6,2,5.57,3,8.36,130,362.1,66,183.83,584,1626.65,559.86,5439.81
Perrysburgcity,OH,12551,2.61,14,23.66,10.56,10.49,44277,21223,266,2.12,2.66,3.98,65.95,0,0,0,0,1,7.22,2,14.44,46,332.18,21.66,2642.98
Cullmancity,AL,13367,2.38,13.18,22.89,11.93,19.47,21114,12559,2210,17.25,17.86,4.42,51.16,0,0,3,16.46,7,38.41,61,334.69,114,625.48,389.55,
Veronatownship,NJ,13597,2.47,9.71,20.6,9.8,17.98,55248,27183,235,1.73,2.81,2.54,64.2,0,0,1,7.24,8,57.89,17,123.01,43,311.14,188.13,1960.93
Fultoncity,NY,12929,2.48,13.91,26.73,13.15,14.94,22955,11331,2078,16.3,8.95,10.35,53.06,4,30.81,1,7.7,11,84.72,6,46.21,125,962.72,169.44,5460.57
Jacksoncity,MS,196637,2.74,16.18,29.7,15.17,10.48,23270,12216,43216,22.68,9.01,8.79,59.11,83,42.54,173,88.66,1505,771.31,1019,522.23,7071,3623.87,1424.74,11722.35
Azusacity,CA,41333,3.27,16.8,35.99,18.99,6.46,31889,11038,5699,14.28,18.49,8.28,64.44,4,9.24,17,39.25,101,233.2,163,376.36,565,1304.55,658.05,4167.63
Barringtontown,RI,15849,2.83,12.8,20.91,10.13,12.62,53058,24965,280,1.8,2.91,3.98,64.35,0,0,0,0,5,31.69,8,50.7,31,196.45,82.38,1907.48
UpperChichestertownship,PA,15004,2.8,13.96,27.11,13.08,10.46,40216,15062,620,4.15,6.81,2.91,68.22,0,0,4,26.21,18,117.95,21,137.61,61,399.71,281.76,2974.9
Homewoodcity,AL,22922,2.25,15.4,33.17,17.69,12.46,30516,17582,1414,6.66,2.64,3.15,63.2,2,8.31,4,16.62,58,241.05,26,108.06,180,748.1,374.05,
Englewoodcity,NJ,24850,2.77,11.53,24.15,11.22,12.4,46758,25820,2072,8.42,7.9,5.32,66.2,1,4,9,35.97,69,275.8,77,307.78,323,1291.07,623.55,4592.69
Daytoncity,OH,182044,2.51,15.22,29.63,15.68,12.01,19779,9946,46480,26.53,10.74,10.39,51.62,49,27.32,269,150.01,1475,822.52,1129,629.58,4303,2399.53,1629.43,9465.95
SanLeandrocity,CA,68223,2.34,10.04,22.85,10.47,17.63,35681,17563,3375,4.98,7.34,5.29,60.33,5,7.16,25,35.8,358,512.61,244,349.37,851,1218.52,904.94,7150.73
Simpsonvilletown,SC,11708,2.78,13.63,28.19,11.61,6.59,34990,13698,467,4.04,8.09,3.64,74.76,0,0,4,30.79,4,30.79,12,92.36,65,500.27,153.93,2285.85
Tooelecity,UT,13887,2.87,17.18,27.67,12.28,10.05,29784,11090,1641,11.94,3.44,10.08,57.91,1,6.61,3,19.83,1,6.61,25,165.23,114,753.47,198.28,4586.91
CanonCitycity,CO,12687,2.51,11.8,21.53,9.88,20.52,18423,10166,2203,18.95,11.46,9.17,43.99,0,0,11,76.68,6,41.82,15,104.56,155,1080.44,223.06,4642.41
Summervilletown,SC,22519,2.78,13.68,29.77,13.52,7.7,31448,12556,2175,9.83,5.7,4.22,67.32,1,4.43,13,57.59,41,181.64,103,456.32,314,1391.1,699.98,7323.23
WestWhitelandtownship,PA,12403,2.7,12.24,27.88,11.74,6.77,50598,21387,188,1.55,2.15,3.06,72.13,0,0,1,7.93,3,23.78,5,39.64,45,356.75,71.35,4043.13
WhitePlainscity,NY,48718,2.51,10.76,24.85,11.54,13.51,44004,24330,3645,7.68,7.88,5.02,64.7,0,0,7,14.09,84,169.08,91,183.17,205,412.64,366.34,5410.63
DelCitycity,OK,23928,2.6,15.11,26.78,12.97,10.77,25550,11039,3538,14.87,5.45,7.85,60.32,2,8.37,19,79.5,28,117.16,21,87.87,286,1196.75,292.91,4946.02
ElkRivercity,MN,11143,2.99,15.21,29.18,12.99,6.09,37549,14616,770,7,4.37,6.97,69.95,0,0,,,2,15.1,11,83.08,96,725.02,,3511.82
Ridgelandcity,MS,11714,2.08,9.8,37.64,14.54,5.19,31938,16915,572,4.88,2.84,3.2,81.4,1,7.02,3,21.07,22,154.55,10,70.25,108,758.69,252.9,5212.5
Laurelcity,MD,19438,2.27,8.79,33.22,12.7,6.15,44002,21615,672,3.5,3.77,2.22,82.95,1,4.6,8,36.83,75,345.27,52,239.39,215,989.78,626.09,
Collingswoodborough,NJ,15289,2.39,12.02,26.53,12.24,14.34,33026,15535,923,6.09,6.37,3.63,66.51,0,0,0,0,27,187.16,32,221.82,152,1053.65,408.98,4817.69
LosAltoscity,CA,26303,2.67,10.57,16.52,7.79,16.87,79579,37776,319,1.23,1.07,2.87,63.88,0,0,6,21.17,9,31.75,15,52.92,208,733.79,105.84,2007.34
Owassocity,OK,11151,2.86,13.58,26.61,11.16,6.91,33000,12491,939,8.57,5.53,3.92,68.09,0,0,5,38.28,5,38.28,9,68.91,84,643.14,145.47,2802.24
Milpitascity,CA,50686,3.6,13.26,29.39,13.21,4.59,55730,17520,2317,4.9,7.41,4.86,68,0,0,18,32.02,62,110.3,104,185.03,408,725.88,327.36,4109.74
Monroetown,CT,16896,3.11,14.03,24.16,11.82,7.42,59967,21441,352,2.09,4.04,4.25,72.06,0,0,0,0,4,23.32,13,75.8,94,548.1,99.13,1737.61
Middletowntownship,NJ,68183,3.01,14.45,24.87,12.42,10.6,54053,21882,1618,2.43,4.77,4.65,65.6,0,0,5,7.01,13,18.22,31,43.45,231,323.8,68.68,1572.73
SanRafaelcity,CA,48404,2.39,10.41,24.63,11.92,12.27,41922,24230,3815,8.08,5.82,4.77,65.22,2,4.09,10,20.45,80,163.64,182,372.27,512,1047.27,560.45,5700.67
ElPasocity,TX,515342,3.21,17.84,31.16,15.53,8,23460,9603,128886,25.32,22.23,9.85,55.19,47,7.96,281,47.61,1561,264.48,4220,714.99,5643,956.09,1035.05,6961.87
Pembroketown,MA,14544,3.12,14.68,26.18,12.59,6.83,46932,16531,593,4.11,2.4,7.29,71.19,0,0,2,12.93,4,25.86,41,265.11,71,459.1,303.91,2289.04
Wheelingcity,WV,34882,2.32,12.56,21.79,11.29,19.51,21053,12665,5715,16.91,11.51,6.66,52.57,1,2.93,12,35.21,56,164.32,113,331.57,388,1138.5,534.04,3060.45
Northbridgetown,MA,13371,2.81,13.4,26.28,12.2,12.41,36634,14159,762,5.86,10.5,7.65,63.46,0,0,3,21.53,1,7.18,90,646.04,53,380.45,674.75,1636.64
Moultriecity,GA,14865,2.72,15.31,26.01,13,15.22,16574,9714,4929,34.5,23.43,7.72,51.85,3,19.08,14,89.06,50,318.07,134,852.42,301,1914.76,1278.63,8396.95
ElRenocity,OK,15414,2.89,13.12,24.56,11.15,12.7,22027,10161,2841,20.96,11.13,7.84,48.65,4,25.16,12,75.49,24,150.98,41,257.93,184,1157.52,509.56,4479.11
Bergenfieldborough,NJ,24458,2.78,11.33,24.06,11.22,14.09,45713,18713,815,3.34,7.11,5.04,66.85,0,0,0,0,12,47.97,26,103.94,110,439.75,151.91,1791
SpringGardentownship,PA,11207,2.72,18.69,26.72,17.82,18.33,37044,21610,474,4.73,5.78,2.8,58.18,0,0,1,8.77,6,52.65,1,8.77,45,394.84,70.19,3272.79
LomaLindacity,CA,17400,2.89,11.63,30.68,14.01,11.27,33265,15365,1847,11.76,7.65,4.72,59.42,1,5.39,2,10.77,30,161.55,32,172.32,306,1647.82,350.03,5885.84
Moscowcity,ID,18519,2.82,26.99,48.06,34.73,6.61,19977,10204,3597,23.4,3.54,6.09,56.08,0,0,4,20.61,1,5.15,26,133.96,81,417.33,159.72,2313.36
Hurstcity,TX,33574,2.63,13.51,26.06,12.5,8.28,37473,16621,2580,7.77,3.47,5.45,70.08,2,5.57,36,100.23,63,175.39,208,579.08,375,1044.02,860.27,6584.26
TerreHautecity,IN,57483,2.68,18.99,32.55,20.49,14.68,19118,10527,10140,20.43,8.83,8.33,50.05,6,9.88,31,51.04,48,79.03,110,181.12,1056,1738.76,321.08,6885.88
Brawleycity,CA,18923,3.27,17.07,29.52,14.1,8.05,22365,9408,4553,24.31,31.14,14.81,51.15,1,4.56,4,18.23,38,173.22,174,793.18,437,1992.07,989.2,5875.92
Oregoncity,OH,18334,2.67,14.69,25.82,13.07,13.19,34704,14458,1375,7.67,8.25,6.57,59.01,0,0,7,38.13,34,185.23,33,179.78,134,730.01,403.14,5431.47
Freeportcity,TX,11389,3.01,16.36,28.62,13.74,8.53,21483,8900,2746,24.2,21.4,9.57,57.57,0,0,1,8.11,11,89.26,61,494.97,140,1135.99,592.34,5201.23
Edwardsvillecity,IL,14579,2.54,12.29,25.91,12.75,13.53,32733,15338,1251,9,7.85,4.28,61.6,1,6.56,,,7,45.95,24,157.54,88,577.66,,3295.26
Penntownship,PA,15945,2.91,14.04,22.68,10.94,11.43,33219,13570,597,3.75,7.78,5.87,60.26,0,0,5,42.17,5,42.17,2,16.87,59,497.64,101.21,3500.34
LowerMorelandtownship,PA,11768,2.83,14.27,22.89,12.33,13.59,60925,29971,274,2.33,2.44,2.72,61.62,0,0,1,8.36,3,25.07,6,50.14,55,459.6,83.56,2105.79
Manheimtownship,PA,28880,2.71,11.14,19.25,9.09,17.05,41450,19703,656,2.42,7.27,2.34,62.04,0,0,1,3.4,18,61.28,18,61.28,98,333.63,125.96,2995.85
SanBernardinocity,CA,164164,3.01,14.78,30.37,14.56,9,25533,10865,36174,22.79,12.54,10.69,54.27,82,44.9,129,70.63,1550,848.7,3805,2083.42,4740,2595.38,3047.66,9248.11
WestHollywoodcity,CA,36118,1.6,4.58,23.07,7.61,15.91,29314,24386,4094,11.43,6,7.04,65.31,5,14.44,26,75.11,485,1401.09,352,1016.87,675,1949.97,2507.51,9827.83
Rochestercity,NY,231636,2.47,13.87,31.43,15.28,10.4,22785,11704,52237,23.5,11.03,8.8,57.84,64,27.74,159,68.91,1638,709.86,843,365.33,6340,2747.57,1171.84,10038.61
Normancity,OK,80071,2.51,20.19,37.58,23.27,7.38,25165,13690,11221,15.04,4.16,6.05,63.66,2,2.28,34,38.71,38,43.27,128,145.74,1040,1184.17,230,4965.56
TheColonycity,TX,22113,3.27,13.48,27.89,9.82,1.74,42743,14070,630,2.85,2.61,4.49,80.02,0,0,1,3.71,5,18.54,32,118.64,168,622.85,140.88,2828.75
Gladstonecity,OR,10152,2.76,15.35,24.68,11.85,11.46,32069,14147,386,3.89,4.04,3.65,65.17,0,0,5,45.5,9,81.89,17,154.69,99,900.82,282.07,5050.05
Lowellcity,MA,103439,2.79,15.34,32.56,16.73,10.69,29351,12701,17900,17.99,16.6,10.68,58.39,6,6.21,49,50.74,302,312.7,874,904.97,2244,2323.51,1274.62,7762.64
LaPortecity,TX,27910,3.05,15.23,27.41,11.98,4.85,41733,14349,2442,8.82,6.53,5.22,69.45,1,3.17,22,69.83,15,47.61,83,263.46,182,577.7,384.08,2482.22
Victoriacity,TX,55076,2.78,15.02,27.08,12.76,10.34,25576,12332,10227,18.88,15.17,6.83,60.19,4,6.48,21,34.02,82,132.85,469,759.83,1116,1808.05,933.19,7180.35
Gainesvillecity,GA,17885,2.58,14.72,29.56,15.87,12.8,25689,14978,3227,18.74,13.78,5.04,61.93,3,15.09,8,40.25,47,236.44,187,940.74,223,1121.84,1232.52,7787.5
Yarmouthtown,MA,21174,2.21,9.31,18.83,9.04,27.51,27222,15042,1994,9.5,2.59,7.93,48.64,0,0,9,40.09,9,40.09,82,365.24,280,1247.16,445.41,4164.63
Soloncity,OH,18548,2.93,13.47,21.37,10.2,9.66,54005,22514,459,2.48,3.26,2.32,67.82,0,0,0,0,5,24.32,7,34.05,50,243.19,58.37,1916.34
Davenportcity,IA,95333,2.56,14.14,27.75,13.47,11.3,26218,12557,14452,15.59,7.16,6.51,61.58,4,4.11,65,66.73,290,297.71,1166,1197,1837,1885.84,1565.55,8078.23
Raleighcity,NC,207951,2.42,15.95,35.77,19.54,7.94,32451,16896,22942,11.8,4.77,3.97,68.92,27,11.21,94,39.02,795,330.02,1114,462.45,2947,1223.37,842.7,5502.07
Rexburgcity,ID,14302,4.18,47.87,63.14,53.34,4.21,19183,6599,5397,41.77,4.7,8.7,43.97,0,0,1,6.72,0,0,7,47.01,45,302.22,53.73,4103.43
Camdencity,NJ,87492,3.29,17.6,31.78,15.89,7.72,17386,7276,30588,36.56,20.02,16.3,46.1,42,50.42,90,108.05,1654,1985.69,1155,1386.62,4039,4848.97,3530.78,12109.83
Cranberrytownship,PA,14816,2.85,12.14,25.19,9.85,6.51,41006,16494,375,2.54,1.97,4.56,71.33,0,0,1,6.64,0,0,0,0,32,212.38,6.64,1592.89
ElMontecity,CA,106209,4.06,18.21,35.51,18.15,5.84,28034,8056,23446,22.51,31.87,9.4,58.34,19,18.06,45,42.78,625,594.18,698,663.58,1357,1290.08,1318.6,4576.61
Hudsontown,NH,19530,2.95,13.76,28.51,12.74,5.8,47859,17678,560,2.89,5.18,6.71,75.22,0,0,6,30.4,3,15.2,9,45.6,67,339.5,91.21,2153.53
Austincity,TX,465622,2.42,16.73,35.98,19.84,6.63,25414,14295,80369,17.93,7.84,6.32,67.27,37,7.37,271,53.98,1555,309.75,1148,228.68,8453,1683.8,599.78,9773.95
OldBridgetownship,NJ,56475,2.83,12.59,26.78,12.12,8.07,47482,18859,1947,3.47,5.02,4.49,70.08,1,1.7,3,5.1,30,50.98,49,83.28,318,540.44,141.06,2659.71
Hannibalcity,MO,18004,2.54,13.68,24.53,11.65,15.89,20095,10050,3349,19.21,12.73,9.47,54.03,0,0,9,49.29,7,38.33,104,569.52,217,1188.32,657.14,6149.72
Worcestercity,MA,169759,2.66,16.02,30.98,17.13,14.03,28955,13393,24228,15.3,10.96,8.27,56,12,7.22,77,46.3,628,377.65,,,3404,2047.03,,
Greenwoodcity,SC,20807,2.57,17.23,30.4,17.51,14.83,18683,9717,4437,22.9,19,7.69,54.49,5,21.53,19,81.83,63,271.33,583,2510.87,307,1322.19,2885.57,5977.86
Snydercity,TX,12195,2.77,15.69,26.13,12.74,12.43,23497,10362,2205,18.61,15.22,7.89,54.69,0,0,3,24.22,0,0,90,726.51,65,524.7,750.73,2542.78
TarponSpringscity,FL,17906,2.42,11.58,20.95,10,21.35,25380,13557,1897,10.82,8.74,6.91,48.87,1,5.08,9,45.73,32,162.61,152,772.4,198,1006.15,985.82,4019.51
Keizercity,OR,21884,2.63,13.19,23.6,10.98,12.42,31063,13120,1519,7.05,7.05,5.55,64.43,0,0,7,25.5,13,47.36,19,69.22,174,633.93,142.09,4080.44
LincolnParkborough,NJ,10978,2.84,10.04,25.22,10.13,10.67,53781,21189,165,1.6,9.22,3.8,69.07,0,0,0,0,0,0,11,98.73,24,215.4,98.73,1337.28
Lackawannacity,NY,20585,2.43,11.99,26.07,12.85,16.81,21310,10796,3411,16.68,14.23,8.55,51.86,0,0,3,14.91,35,174.01,252,1252.86,192,954.56,1441.78,
Englewoodcity,OH,11432,2.54,13.65,24.2,11.92,12.62,37087,15795,354,3.14,4.83,3.15,65.38,0,0,2,17.66,3,26.49,7,61.81,55,485.65,105.96,5792.49
Roanokecity,VA,96397,2.35,11.78,25.45,12.17,15,22591,12513,15238,16.08,13.56,5.47,58.89,11,11.27,32,32.78,217,222.3,305,312.45,118,120.88,578.8,5007.38
KansasCitycity,MO,435146,2.45,12.71,27.17,12.5,11.44,26713,13799,65381,15.32,6.95,7.23,62.88,153,34.34,515,115.59,3891,873.3,6402,1436.88,12106,2717.1,2460.11,10039.52
Florencecity,AL,36426,2.44,15.39,27.79,15.85,14.84,21459,11854,6505,18.55,13.57,6.99,54.09,4,10.79,9,24.28,30,80.94,182,491.02,345,930.77,607.03,
Cortlandcity,NY,19801,2.87,26.77,42.55,30.67,11.83,22550,10033,3365,20.2,8.31,6.3,52.39,0,0,8,40.1,9,45.11,24,120.29,172,862.07,205.49,5117.28
Norwalkcity,CA,94279,3.58,16.06,30.88,15.17,7.88,38124,11713,8504,9.29,16.22,6.64,61.29,6,5.93,33,32.59,393,388.15,757,747.65,1079,1065.68,1174.32,4015.8
Yonkerscity,NY,188082,2.61,12.05,25.74,12.25,14.86,36376,17484,20436,11.03,11.2,6.48,58.85,19,10.37,34,18.56,852,465.18,446,243.51,1682,918.34,737.62,4494.53
BocaRatoncity,FL,61492,2.34,11.1,21.72,11.1,18.96,42314,28307,3282,5.51,3.65,3.29,58.08,7,10.38,21,31.14,82,121.6,133,197.22,919,1362.77,360.34,5492.62
Hamburgtownship,MI,13083,2.95,12.77,23.78,10.61,6.89,48481,18058,413,3.23,3.62,3.55,69.89,0,0,,,2,14.88,11,81.83,55,409.17,,2209.49
Northfieldcity,MN,14514,3.58,35.82,47.34,38.29,7.68,30613,10915,1083,10.89,7.74,3.05,64.93,0,0,4,24.85,1,6.21,12,74.54,62,385.12,105.6,3217.59
ThousandOakscity,CA,104352,2.86,14.83,26.2,13.3,8.12,56856,23682,4340,4.22,3.3,3.95,70.54,3,2.69,22,19.72,65,58.28,251,225.03,649,581.86,305.72,2631.37
Rosevillecity,MN,33485,2.47,12.44,26.35,13.71,15.06,37862,18593,1190,3.71,4.04,3.56,66.8,0,0,,,11,32.95,19,56.91,198,593.06,,6203.2
Brunswickcity,GA,16433,2.67,14.56,26.49,12.94,14,17959,8937,4142,26.25,15.03,9.38,52.51,7,38.69,18,99.5,100,552.76,253,1398.49,438,2421.09,2089.44,9833.62
Goldsborocity,NC,40709,3.03,13.16,31.68,14.42,10.03,19955,10726,7269,21.16,11.99,4.96,62.3,6,13.1,20,43.66,207,451.9,444,969.28,910,1986.6,1477.94,7734.63
SanJosecity,CA,782248,3.13,14.34,30.37,14.46,6.56,46206,16905,71676,9.31,10.84,5.54,68.79,41,4.98,391,47.52,1186,144.13,3699,449.54,6014,730.88,646.17,3857.83
Oneontacity,NY,13954,3.19,40.03,53.37,45.54,10.44,20628,9773,2337,23.4,7.64,5.3,49.48,0,0,2,15.35,2,15.35,13,99.75,71,544.77,130.44,2654.8
Folsomcity,CA,29802,3.4,9.98,27.1,10.49,7.91,46726,17617,1187,5.17,4.46,4.16,49.1,0,0,4,10.05,17,42.71,55,138.18,226,567.81,190.95,2756.14
LongBeachcity,NY,33510,2.47,9.81,24.68,10.15,14.98,41495,20993,2659,8.31,6.43,5.54,60.41,2,5.86,1,2.93,57,166.9,71,207.89,284,831.55,383.57,
Farmingtoncity,NM,33997,2.84,14.65,26.23,11.23,8.14,28911,12302,5149,15.23,5.72,7.17,62,2,5.41,50,135.2,38,102.75,212,573.25,367,992.37,816.61,6800.61
Tredyffrintownship,PA,28028,2.45,10.81,23.42,10.73,11,61144,34078,502,1.8,1.58,2.32,70.11,0,0,0,0,10,35.08,20,70.15,115,403.38,105.23,1918.69
Shelbyvillecity,TN,14049,2.47,13.8,26.42,13.1,15.54,20099,10458,2705,19.77,24.88,6.23,57.91,1,6.28,5,31.4,13,81.63,74,464.68,185,1161.7,583.99,3679.75
Maywoodcity,CA,27850,4.29,19.92,37.95,20.29,3.97,25567,6927,5857,21.26,49.89,12.22,60.37,6,21.83,3,10.91,80,291.06,149,542.09,147,534.82,865.9,2670.45
Webstertown,MA,16196,2.48,11.92,25.76,12.4,16.57,30067,14624,1468,9.27,12.82,6.53,61.04,0,0,9,53.34,4,23.71,46,272.61,199,1179.33,349.65,3662.44
Tiffincity,OH,18604,2.65,17.44,29.62,16.84,13.69,24215,11428,1840,10.69,8.31,6.44,57.57,1,5.37,4,21.49,13,69.85,12,64.48,106,569.56,161.19,3868.68
Hanovertownship,NJ,11538,3.04,13.43,23.75,12.47,12.71,60688,22546,141,1.23,6.25,2.97,67.95,0,0,0,0,4,33.47,7,58.57,34,284.5,92.04,1773.91
Colchestertown,VT,14731,2.92,20.52,36.22,21.31,5.31,39308,15208,586,4.44,4.88,3.76,71.51,0,0,3,19.63,0,0,1,6.54,117,765.51,26.17,
Spartanburgcity,SC,43467,2.6,16.06,28.38,15.86,13.9,22423,12142,8946,21.79,14.51,6.9,56.69,10,21.82,42,91.64,319,696.01,1194,2605.11,1158,2526.56,3414.57,11646.63
Goffstowntown,NH,14621,3.07,19.02,30.98,18.54,10.06,42160,15039,407,3.14,6.9,5.66,66.01,2,13.54,3,20.3,4,27.07,14,94.75,58,392.55,155.67,2260.58
Austincity,MN,21907,2.34,12.34,21.86,10.27,19.67,22257,11811,2192,10.27,12.26,4.37,53.81,0,0,,,5,22.77,34,154.84,134,610.26,,3748.06
Hanfordcity,CA,30897,2.85,14.67,28.08,12.69,9.82,26629,11283,4755,15.65,13.25,9.04,58.01,1,2.93,5,14.64,38,111.28,187,547.6,327,957.57,676.45,5294.44
Charlottecity,NC,395934,2.49,13.02,28.82,13.38,8.89,31873,16793,42312,10.83,6.02,4.16,70.05,122,22.42,356,65.42,3227,593.04,6020,1106.32,10691,1964.73,1787.2,7428.52
Anacortescity,WA,11451,2.45,10.52,19.07,8.23,19.35,28919,14373,1299,11.56,6.47,8.03,47.74,0,0,2,15.29,0,0,7,53.51,35,267.54,68.8,3730.32
Concordcity,NC,27347,2.53,13.47,26.57,13.92,15.07,25473,13452,3195,12.13,13.74,4.09,62.71,4,12.72,5,15.9,59,187.66,161,512.09,481,1529.9,728.37,5655.22
Chattanoogacity,TN,152466,2.45,13.77,26.7,13.56,13.57,22197,12332,26803,18.18,12.71,6.9,56.09,38,24.57,154,99.59,709,458.48,2131,1378.03,3144,2033.1,1960.67,8666.52
MillValleycity,CA,13038,2.19,8.09,16.37,6.94,11.78,55748,36057,422,3.28,1.37,2.76,68.44,0,0,4,30.18,10,75.44,24,181.05,182,1372.96,286.66,4277.31
SugarLandcity,TX,24529,3.03,13.03,21.25,8.89,6.08,56571,24200,610,2.5,3.33,4.08,70.61,0,0,0,0,16,50.87,52,165.33,224,712.2,216.2,3634.11
Portlandcity,TX,12224,2.97,17.03,27.62,12.94,5.49,37952,14187,853,7.03,3.15,5.29,66.22,2,14.39,0,0,0,0,10,71.95,90,647.58,86.34,3144.34
Fallstownship,PA,34997,2.79,13.23,26.68,12,10.25,40287,15443,1489,4.28,4.57,4.5,69.02,0,0,3,8.43,22,61.8,24,67.42,174,488.82,137.66,2778.4
Peterstownship,PA,14467,2.93,12.69,20.11,9.47,9.68,53045,24417,358,2.51,3.24,3.39,62.27,0,0,0,0,2,13.59,1,6.8,35,237.88,20.39,1549.65
Huntingtoncity,IN,16389,2.67,15.65,28.66,14.42,12.87,25855,11390,1390,8.8,7.03,5.14,64.07,0,0,3,17.55,6,35.1,160,936.06,93,544.08,988.71,2983.68
